Chain,Balance_USD
Fantom,0.0
Algorand,36909079.41977
Sui,4.17681
Hedera,252789212.28502
opBNB,35368742.28899
Plasma,584730513.143
Ronin,25638663.16419
Starknet,348362.03463
Stellar,59720915.34925
Scroll,4485509.18021
Base,817363565.88143
Sonic,123071437.23054
Celo,73303933.36611
BSC,25856963768.36486
Chiliz,76938848.21723
Litecoin,321320011.01243
OP Mainnet,118434028.47772
Ethereum,51339441621.93721
Manta,18970721.22575
Near,168181040.34668
ZKsync Era,44803837.18873
Arbitrum,1035441964.91477
Avalanche,670625194.81179
Polkadot,660.89544
Polygon,345191100.90336
Aptos,764237239.95845
Tron,5337347171.84688
Solana,5938548559.33305
TON,456820462.45722
XRPL,3421408122.33147
Bitcoin,39301365752.49618
Doge,1645866660.39686
