date,Total MCAP (Bn),Binance Assets (Bn),Market Share %
2025-01-21,0.0,0.0,4.561
2025-01-22,0.0,0.0,4.6
2025-01-23,0.0,0.0,4.601
2025-01-24,0.0,0.0,4.584
2025-01-25,0.0,0.0,4.586
2025-01-26,0.0,0.0,4.605
2025-01-27,0.0,0.0,4.591
2025-01-28,0.0,0.0,4.581
2025-01-29,0.0,0.0,4.583
2025-01-30,0.0,0.0,4.554
2025-01-31,0.0,0.0,4.568
2025-02-01,0.0,0.0,4.59
2025-02-02,0.0,0.0,4.493
2025-02-03,0.0,0.0,4.59
2025-02-04,0.0,0.0,4.59
2025-02-05,0.0,0.0,4.598
2025-02-06,0.0,0.0,4.601
2025-02-07,0.0,0.0,4.604
2025-02-08,0.0,0.0,4.616
2025-02-09,0.0,0.0,4.647
2025-02-10,0.0,0.0,4.604
2025-02-11,0.0,0.0,4.634
2025-02-12,0.0,0.0,4.65
2025-02-13,0.0,0.0,4.655
2025-02-14,0.0,0.0,4.619
2025-02-15,0.0,0.0,4.628
2025-02-16,0.0,0.0,4.663
2025-02-17,0.0,0.0,4.655
2025-02-18,0.0,0.0,4.657
2025-02-19,0.0,0.0,4.668
2025-02-20,0.0,0.0,4.631
2025-02-21,0.0,0.0,4.669
2025-02-22,0.0,0.0,4.718
2025-02-23,0.0,0.0,4.695
2025-02-24,0.0,0.0,4.742
2025-02-25,0.0,0.0,4.83
2025-02-26,0.0,0.0,4.92
2025-02-27,0.0,0.0,4.899
2025-02-28,0.0,0.0,4.897
2025-03-01,0.0,0.0,4.872
2025-03-02,0.0,0.0,4.717
2025-03-03,0.0,0.0,4.857
2025-03-04,0.0,0.0,4.822
2025-03-05,0.0,0.0,4.769
2025-03-06,0.0,0.0,4.785
2025-03-07,0.0,0.0,4.813
2025-03-08,0.0,0.0,4.819
2025-03-09,0.0,0.0,4.905
2025-03-10,0.0,0.0,4.951
2025-03-11,0.0,0.0,4.891
2025-03-12,0.0,0.0,4.867
2025-03-13,0.0,0.0,4.956
2025-03-14,0.0,0.0,4.902
2025-03-15,0.0,0.0,4.915
2025-03-16,0.0,0.0,4.952
2025-03-17,0.0,0.0,4.918
2025-03-18,0.0,0.0,4.942
2025-03-19,0.0,0.0,4.994
2025-03-20,0.0,0.0,5.102
2025-03-21,0.0,0.0,5.141
2025-03-22,0.0,0.0,5.13
2025-03-23,0.0,0.0,5.08
2025-03-24,0.0,0.0,5.027
2025-03-25,0.0,0.0,5.008
2025-03-26,0.0,0.0,5.035
2025-03-27,0.0,0.0,5.041
2025-03-28,0.0,0.0,5.097
2025-03-29,0.0,0.0,5.123
2025-03-30,0.0,0.0,5.103
2025-03-31,0.0,0.0,5.062
2025-04-01,0.0,0.0,4.997
2025-04-02,0.0,0.0,5.011
2025-04-03,0.0,0.0,5.029
2025-04-04,0.0,0.0,5.028
2025-04-05,0.0,0.0,5.031
2025-04-06,0.0,0.0,5.089
2025-04-07,0.0,0.0,5.125
2025-04-08,0.0,0.0,5.167
2025-04-09,0.0,0.0,5.069
2025-04-10,0.0,0.0,5.146
2025-04-11,0.0,0.0,5.108
2025-04-12,0.0,0.0,5.081
2025-04-13,0.0,0.0,5.093
2025-04-14,0.0,0.0,5.078
2025-04-15,0.0,0.0,5.064
2025-04-16,0.0,0.0,5.051
2025-04-17,0.0,0.0,5.045
2025-04-18,0.0,0.0,5.07
2025-04-19,0.0,0.0,5.058
2025-04-20,0.0,0.0,5.1
2025-04-21,0.0,0.0,5.018
2025-04-22,0.0,0.0,4.952
2025-04-23,0.0,0.0,4.914
2025-04-24,0.0,0.0,4.883
2025-04-25,0.0,0.0,4.795
2025-04-26,0.0,0.0,4.804
2025-04-27,0.0,0.0,4.796
2025-04-28,0.0,0.0,4.869
2025-04-29,0.0,0.0,4.876
2025-04-30,0.0,0.0,4.863
2025-05-01,0.0,0.0,4.838
2025-05-02,0.0,0.0,4.811
2025-05-03,0.0,0.0,4.82
