date,total_mcap_usd,binance_assets_usd,binance_market_share_pct
2025-01-21,3569070000000.0,159060000000.0,4.457
2025-01-22,3510230000000.0,162770000000.0,4.637
2025-01-23,3513190000000.0,161460000000.0,4.596
2025-01-24,3524290000000.0,161650000000.0,4.587
2025-01-25,3528510000000.0,161560000000.0,4.579
2025-01-26,3447050000000.0,161810000000.0,4.694
2025-01-27,3423720000000.0,158740000000.0,4.636
2025-01-28,3370220000000.0,157200000000.0,4.664
2025-01-29,3433450000000.0,154400000000.0,4.497
2025-01-30,3500820000000.0,157360000000.0,4.495
2025-01-31,3452780000000.0,159420000000.0,4.617
2025-02-01,3341320000000.0,157710000000.0,4.72
2025-02-02,3185770000000.0,153350000000.0,4.814
2025-02-03,3288740000000.0,143130000000.0,4.352
2025-02-04,3160490000000.0,150960000000.0,4.776
2025-02-05,3121360000000.0,145070000000.0,4.648
2025-02-06,3091250000000.0,143520000000.0,4.643
2025-02-07,3089310000000.0,142240000000.0,4.604
2025-02-08,3105240000000.0,142240000000.0,4.581
2025-02-09,3101250000000.0,143330000000.0,4.622
2025-02-10,3137090000000.0,144120000000.0,4.594
2025-02-11,3098950000000.0,144430000000.0,4.661
2025-02-12,3180270000000.0,143610000000.0,4.516
2025-02-13,3141260000000.0,147870000000.0,4.707
2025-02-14,3187290000000.0,146220000000.0,4.588
2025-02-15,3179540000000.0,147210000000.0,4.63
2025-02-16,3138690000000.0,147140000000.0,4.688
2025-02-17,3130600000000.0,146370000000.0,4.676
2025-02-18,3094890000000.0,145720000000.0,4.708
2025-02-19,3135160000000.0,144130000000.0,4.597
2025-02-20,3182920000000.0,146340000000.0,4.598
2025-02-21,3107920000000.0,147390000000.0,4.742
2025-02-22,3139170000000.0,145110000000.0,4.623
2025-02-23,3136510000000.0,148120000000.0,4.723
2025-02-24,2933250000000.0,147270000000.0,5.021
2025-02-25,2880730000000.0,139100000000.0,4.829
2025-02-26,2753410000000.0,139140000000.0,5.053
2025-02-27,2760540000000.0,135470000000.0,4.907
2025-02-28,2744230000000.0,135250000000.0,4.929
2025-03-01,2785730000000.0,134389999999.99998,4.824
2025-03-02,3093560000000.0,135720000000.0,4.387
2025-03-03,2780960000000.0,145930000000.0,5.247
2025-03-04,2823050000000.0,135060000000.0,4.784
2025-03-05,2917510000000.0,136120000000.0,4.666
2025-03-06,2897540000000.0,139150000000.0,4.802
2025-03-07,2804500000000.0,138660000000.0,4.944
2025-03-08,2790850000000.0,134979999999.99998,4.837
2025-03-09,2612020000000.0,134490000000.00002,5.149
2025-03-10,2522110000000.0,128120000000.0,5.08
2025-03-11,2641830000000.0,124860000000.0,4.726
2025-03-12,2671220000000.0,129199999999.99998,4.837
2025-03-13,2608600000000.0,130009999999.99998,4.984
2025-03-14,2691390000000.0,129289999999.99998,4.804
2025-03-15,2717710000000.0,131919999999.99998,4.854
2025-03-16,2652720000000.0,133570000000.0,5.035
2025-03-17,2701880000000.0,131370000000.0,4.862
2025-03-18,2669980000000.0,132889999999.99998,4.977
2025-03-19,2797020000000.0,131949999999.99998,4.718
2025-03-20,2720980000000.0,139690000000.0,5.134
2025-03-21,2708960000000.0,138830000000.0,5.125
2025-03-22,2707690000000.0,139260000000.0,5.143
2025-03-23,2764550000000.0,138910000000.0,5.025
2025-03-24,2819740000000.0,140440000000.0,4.981
2025-03-25,2821670000000.0,141750000000.0,5.024
2025-03-26,2791700000000.0,141320000000.0,5.062
2025-03-27,2802890000000.0,140560000000.0,5.015
2025-03-28,2701610000000.0,141280000000.0,5.229
2025-03-29,2636060000000.0,137690000000.0,5.224
2025-03-30,2626690000000.0,135039999999.99998,5.141
2025-03-31,2629100000000.0,134030000000.0,5.098
2025-04-01,2703080000000.0,133080000000.00002,4.923
2025-04-02,2608610000000.0,135070000000.0,5.178
2025-04-03,2627700000000.0,130710000000.00002,4.974
2025-04-04,2650180000000.0,132160000000.0,4.987
2025-04-05,2638310000000.0,133259999999.99998,5.051
2025-04-06,2456940000000.0,132740000000.00002,5.403
2025-04-07,2471860000000.0,125040000000.0,5.059
2025-04-08,2390260000000.0,126690000000.0,5.3
2025-04-09,2589880000000.0,123500000000.0,4.769
2025-04-10,2498270000000.0,131270000000.00002,5.254
2025-04-11,2596960000000.0,128560000000.0,4.95
2025-04-12,2670510000000.0,132650000000.0,4.967
2025-04-13,2615970000000.0,135680000000.0,5.187
2025-04-14,2635520000000.0,133229999999.99998,5.055
2025-04-15,2600760000000.0,133820000000.0,5.145
2025-04-16,2608960000000.0,131690000000.0,5.048
2025-04-17,2633820000000.0,131789999999.99998,5.004
2025-04-18,2626270000000.0,132880000000.0,5.06
2025-04-19,2651200000000.0,133160000000.0,5.023
2025-04-20,2647840000000.0,134110000000.00002,5.065
2025-04-21,2695860000000.0,135050000000.00002,5.009
2025-04-22,2873200000000.0,135270000000.00002,4.708
2025-04-23,2889110000000.0,142280000000.0,4.925
2025-04-24,2898030000000.0,141980000000.0,4.899
2025-04-25,2914370000000.0,141500000000.0,4.855
2025-04-26,2923580000000.0,139740000000.0,4.78
2025-04-27,2897000000000.0,140440000000.0,4.848
2025-04-28,2930640000000.0,138950000000.0,4.741
2025-04-29,2905800000000.0,142700000000.0,4.911
2025-04-30,2900050000000.0,141680000000.0,4.885
2025-05-01,2959810000000.0,141030000000.0,4.765
2025-05-02,2968400000000.0,143200000000.0,4.824
2025-05-03,2936380000000.0,142820000000.0,4.864
2025-05-04,2891080000000.0,141520000000.0,4.895
2025-05-05,2902310000000.0,139250000000.0,4.798
2025-05-06,2945990000000.0,141300000000.0,4.796
2025-05-07,2948380000000.0,143390000000.0,4.863
2025-05-08,3182840000000.0,142480000000.0,4.477
2025-05-09,3213970000000.0,150080000000.0,4.67
2025-05-10,3318720000000.0,154790000000.0,4.664
2025-05-11,3275110000000.0,157930000000.0,4.822
2025-05-12,3261200000000.0,156730000000.0,4.806
