Name,Assets,Clean Assets,24h Inflows,7d Inflows,1m Inflows,Spot Volume,24h Open Interest,Avg Leverage,Custom range Inflows,Auditor,Last audit date
Binance,139143097405.1201,117637950971.39244,-36853920.3430694,2852485990.082434,1715560373.3271072,3911467383.197025,19377806749.83484,0.16472410977769575,,,
OKX,17503442114.40229,17493832147.375088,-20569193.16691872,-112248324.73036213,-1020202029.3404136,695992917.9552705,6378339990.925813,0.3646050755027319,,,
Bybit,15104447797.299425,13465926806.612604,26964463.451519717,127214033.4082255,-170617756.10918218,1088760455.306692,9667167787.265692,0.7178984355178964,,,
Robinhood,12144520602.367199,12144520602.367199,10464.959864195798,131634.79509767747,856129.1268130266,,,,,,
Bitfinex,17308296642.964947,11916024673.881248,-27808197.937742542,-1246214.9583403724,1558609834.3685725,246181917.08250564,1050228152.6955042,0.08813578197748287,,,
HTX,5599748252.087098,5577194292.477027,33026777.895255804,-26457329.543915812,25369509.402113706,734752887.6286372,3439648485.3782344,0.6167345631149899,,,
Bitget,5940472138.610062,5369096856.678318,7724693.639469822,99564858.07022312,668814855.4750341,660703607.2344252,5729950816.083107,1.067209433734827,,,
Gemini,5124025133.263671,5124025133.263671,1040574.3192399614,-77132910.90174156,-309148425.34102285,13572603.685189405,,,,,
Gate,4787845613.514845,4350743949.010445,3837481.6198362145,42074663.33762762,35335501.03220935,1217020108.5572534,10272857217.086748,2.3611725574940485,,,
Deribit,3953507327.9904957,3953507327.9904957,-3377892.7492923443,9892543.789617557,439828366.4527858,,3347225877.8654904,0.846647192017937,,,
MEXC,4495330552.355289,3895012452.693206,4392884.464582449,47637113.62067229,122867534.12058215,1210743324.3184445,7533040303.324323,1.9340221359537895,,,
KuCoin,3073686350.1280427,2471465931.8206367,-928687.2782135698,27050514.669383362,-7657155.144241371,804900248.7917013,1580189292.7370057,0.6393732854625834,,,
Crypto.com,2206145220.3063765,2096024347.6695347,14277465.318517355,11674773.263711061,-91812978.33131772,533860917.72419435,1443035866.7683387,0.6884633131159849,,,
HashKey Exchange,1377268728.5676856,1377268728.5676856,4957123.916837337,10422071.33723151,197814870.28247806,,,,,,
Bitkub,1226610242.5139937,1226610242.5139937,-1189646.0965951318,10455438.554723091,32749675.774772555,,,,,,
Bitmex,1147532123.0814815,1147532123.0814815,-168692.3129719685,-1406898.468814273,12153135.86833147,64602.374713713216,497987242.9765567,0.4339636625067242,,,
Bitstamp,1141276932.5711477,1141276932.5711477,2924534.2294741417,21358758.069649804,88556865.7861338,149983077.82788995,,,,,
SwissBorg,866742977.9375904,711243642.4950738,-323926.2583708526,7768884.285763974,17233775.836750563,,,,,,
Korbit,613229227.9928025,613229227.9928025,-108720.0784561557,2221052.891598362,2386597.825562917,254321243.0798872,,,,,
BingX,607495017.8956038,607495017.8956038,14901.383686581885,-4127873.8529198654,-10777748.016007053,554692545.5517571,,,,,
OSL HK,603290816.7552902,603290816.7552902,109885.67220347161,5565896.502559062,30403348.409108575,,,,,,
Indodax,404297575.1159625,404297575.1159625,-71978.8416036792,1028114.9727232698,-2109177.9386702725,9865778.142704047,,,,,
Phemex,357086402.4549558,357086402.4549558,-322856.20996333763,5017353.446088152,-24928718.432426058,501619238.1149951,2799651986.4860587,7.840264897342926,,,
NEXO,355957717.59819865,355957717.59819865,5910200.444847153,-11880582.917367524,31532190.65826387,,,,,,
Backpack,330060027.6200439,330060027.6200439,4019840.1683258186,8802154.533844983,18736213.033774056,,,,,,
Bitrue,190927836.94752455,190927836.94752455,-491947.9065843486,-1003417.7747526714,-7288350.68812781,267802262.90645692,271024901.6037952,1.4195148593145424,,,
VALR,188078830.08123612,188078830.08123612,-832668.6354064994,-8707643.116509859,-8723155.939371072,2173953.726928158,,,,,
CoinEx,165311173.60230184,165311173.60230184,82714.81727172682,965448.2737588286,13867834.165558344,58339159.0744029,232748068.4863356,1.407939121201029,,,
Biconomy.com,145288802.5197925,145288802.5197925,0,0,105094598.00177182,,,,,,
CoinDCX,138001839.71151465,138001839.71151465,1255.2268547267745,19982.78513023314,-10513897.938648287,1557335.974702062,,,,,
BloFin,127072932.0328422,127072932.0328422,33981.274808924005,11143647.208648663,-5273071.189007695,,,,,,
Bitunix,88242084.03683922,88242084.03683922,0,0,-9077463.642153673,233998150.14147413,,,,,
BYDFi,85584059.30569611,85584059.30569611,40878.99375114349,-130338.02964058277,1398265.125627639,93241143.95386373,4286784129.8439016,50.08858150245032,,,
Ourbit,84809419.4003207,84809419.4003207,67739.20720784318,-340403.57074740506,-3662811.422073364,560228823.4485911,,,,,
Toobit,64411702.45343697,64411702.45343697,0,0,0.009995925954638852,675064182.8199861,,,,,
Coin8,49477228.0494441,49477228.0494441,0,334610.94829011586,185361.6238862722,,,,,,
Flipster,46895673.58998328,46895673.58998328,-191722.65621354533,-1858879.4190954291,-9898416.740916649,,,,,,
OSL,46127353.14239817,46127353.14239817,-242567.26624368425,3277138.72951871,16866359.35305214,,,,,,
Gate US,45872097.49093946,45872097.49093946,-249928.93458206626,-1319234.3931237545,-8544714.776713168,,,,,,
BigONE,41310573.0987165,41310573.0987165,-8388.404352398145,466876.22519784747,-2996356.178359417,195537013.17009297,,,,,
Byte Exchange,37684344.9611539,37684344.9611539,0,0,-4469855.97914992,6549548.940590245,,,,,
OrangeX,33468722.57493615,33468722.57493615,0,0,0.012943318860074842,786717065.7003279,,,,,
Pionex,32707534.59681675,32707534.59681675,-15768.340328416198,304532.0815899453,748987.8194294346,1555099080.4745917,,,,,
Zoomex,30953774.412960183,30953774.412960183,110678.70320284524,987357.7775674257,-8109356.979241434,323951745.520377,,,,,
